date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:48:42	16661/16661	---M-Z	200	added ('OK')	text/html	etag:%2244b9414d86ca2eb9019e3c5eeff9fce1%22	https://the-dapptools.onrender.com/	C:/My%20Web%20Sites/WALLET/the-dapptools.onrender.com/index.html	(from )
08:48:43	34/34	---M-Z	404	error ('Not%20Found')	text/plain	date:Thu,%2020%20Jul%202023%2012:48:42%20GMT	https://the-dapptools.onrender.com/robots.txt		(from )
08:48:43	10/10	---M-Z	404	error ('Not%20Found')	text/plain	date:Thu,%2020%20Jul%202023%2012:48:43%20GMT	https://the-dapptools.onrender.com/chunks/img/favicon.ico.html	C:/My%20Web%20Sites/WALLET/the-dapptools.onrender.com/chunks/img/favicon.ico.html	(from https://the-dapptools.onrender.com/)
08:48:44	235239/235239	---MCZ	200	added ('OK')	text/css	etag:%22c849c541d2d53e822921df5d28a94dce%22	https://the-dapptools.onrender.com/chunks/css/style.min.css	C:/My%20Web%20Sites/WALLET/the-dapptools.onrender.com/chunks/css/style.min.css	(from https://the-dapptools.onrender.com/)
08:48:44	1560/1560	---M-Z	200	added ('OK')	image/svg+xml	etag:%225a6813a2362143c5ac943bdd66f1b9ce%22	https://the-dapptools.onrender.com/assets/font/wc.svg	C:/My%20Web%20Sites/WALLET/the-dapptools.onrender.com/assets/font/wc.svg	(from https://the-dapptools.onrender.com/)
08:48:46	111966/111966	---MCZ	200	added ('OK')	text/html	etag:%221a3f7af4f9024709ea9c0a70a56c822a%22	https://the-dapptools.onrender.com/cyber.html	C:/My%20Web%20Sites/WALLET/the-dapptools.onrender.com/cyber.html	(from https://the-dapptools.onrender.com/)
08:48:46	10/10	---M-Z	404	error ('Not%20Found')	text/plain	date:Thu,%2020%20Jul%202023%2012:48:45%20GMT	https://the-dapptools.onrender.com/chunks/img/background/blob.svg	C:/My%20Web%20Sites/WALLET/the-dapptools.onrender.com/chunks/img/background/blob.svg	(from https://the-dapptools.onrender.com/)
08:48:46	10/10	---M-Z	404	error ('Not%20Found')	text/plain	date:Thu,%2020%20Jul%202023%2012:48:46%20GMT	https://the-dapptools.onrender.com/chunks/fonts/svg/right-left-solid.svg	C:/My%20Web%20Sites/WALLET/the-dapptools.onrender.com/chunks/fonts/svg/right-left-solid.svg	(from https://the-dapptools.onrender.com/)
08:48:47	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2020%20Jul%202023%2012:48:47%20GMT	https://i.postimg.cc/DznqvDk2/nft.png	C:/My%20Web%20Sites/WALLET/i.postimg.cc/DznqvDk2/nft.6.delayed	(from https://the-dapptools.onrender.com/)
08:48:47	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2020%20Jul%202023%2012:48:47%20GMT	https://i.postimg.cc/fy4zwN52/swap.png	C:/My%20Web%20Sites/WALLET/i.postimg.cc/fy4zwN52/swap.png	(from https://the-dapptools.onrender.com/)
08:48:48	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2020%20Jul%202023%2012:48:47%20GMT	https://i.postimg.cc/6QfDjyNB/gift-box.png	C:/My%20Web%20Sites/WALLET/i.postimg.cc/6QfDjyNB/gift-box.png	(from https://the-dapptools.onrender.com/)
08:48:48	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2020%20Jul%202023%2012:48:47%20GMT	https://i.postimg.cc/6pvzn3Dk/air-flow.png	C:/My%20Web%20Sites/WALLET/i.postimg.cc/6pvzn3Dk/air-flow.png	(from https://the-dapptools.onrender.com/)
08:48:48	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2020%20Jul%202023%2012:48:48%20GMT	https://i.postimg.cc/PJ51W9BM/clock.png	C:/My%20Web%20Sites/WALLET/i.postimg.cc/PJ51W9BM/clock.png	(from https://the-dapptools.onrender.com/)
08:48:48	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2020%20Jul%202023%2012:48:48%20GMT	https://i.postimg.cc/nLDQz99W/payment-method.png	C:/My%20Web%20Sites/WALLET/i.postimg.cc/nLDQz99W/payment-method.png	(from https://the-dapptools.onrender.com/)
08:48:48	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2020%20Jul%202023%2012:48:48%20GMT	https://i.postimg.cc/vT1LnbNZ/incomplete.png	C:/My%20Web%20Sites/WALLET/i.postimg.cc/vT1LnbNZ/incomplete.png	(from https://the-dapptools.onrender.com/)
08:48:49	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2020%20Jul%202023%2012:48:48%20GMT	https://i.postimg.cc/qRtNqdjB/transfer-money.png	C:/My%20Web%20Sites/WALLET/i.postimg.cc/qRtNqdjB/transfer-money.png	(from https://the-dapptools.onrender.com/)
08:48:49	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2020%20Jul%202023%2012:48:49%20GMT	https://i.postimg.cc/yYKSWGcL/claim.png	C:/My%20Web%20Sites/WALLET/i.postimg.cc/yYKSWGcL/claim.png	(from https://the-dapptools.onrender.com/)
08:48:49	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2020%20Jul%202023%2012:48:49%20GMT	https://i.postimg.cc/Gm7WHZ8Y/tick-mark.png	C:/My%20Web%20Sites/WALLET/i.postimg.cc/Gm7WHZ8Y/tick-mark.png	(from https://the-dapptools.onrender.com/)
08:48:49	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2020%20Jul%202023%2012:48:49%20GMT	https://i.postimg.cc/hP054Jvr/image.png	C:/My%20Web%20Sites/WALLET/i.postimg.cc/hP054Jvr/image.png	(from https://the-dapptools.onrender.com/)
08:48:50	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2020%20Jul%202023%2012:48:49%20GMT	https://i.postimg.cc/TwSwpsqS/interest-rate.png	C:/My%20Web%20Sites/WALLET/i.postimg.cc/TwSwpsqS/interest-rate.png	(from https://the-dapptools.onrender.com/)
08:48:50	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2020%20Jul%202023%2012:48:50%20GMT	https://i.postimg.cc/nr0MYH3z/image.png	C:/My%20Web%20Sites/WALLET/i.postimg.cc/nr0MYH3z/image.png	(from https://the-dapptools.onrender.com/)
08:48:50	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2020%20Jul%202023%2012:48:50%20GMT	https://i.postimg.cc/Bn2QjrCq/image.png	C:/My%20Web%20Sites/WALLET/i.postimg.cc/Bn2QjrCq/image.png	(from https://the-dapptools.onrender.com/)
08:48:50	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2020%20Jul%202023%2012:48:50%20GMT	https://i.postimg.cc/C5t84sx0/camera.png	C:/My%20Web%20Sites/WALLET/i.postimg.cc/C5t84sx0/camera.png	(from https://the-dapptools.onrender.com/)
08:48:50	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2020%20Jul%202023%2012:48:50%20GMT	https://i.postimg.cc/7hRv13nr/image.png	C:/My%20Web%20Sites/WALLET/i.postimg.cc/7hRv13nr/image.png	(from https://the-dapptools.onrender.com/)
08:48:51	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2020%20Jul%202023%2012:48:50%20GMT	https://i.postimg.cc/YqLTKmxj/slip.png	C:/My%20Web%20Sites/WALLET/i.postimg.cc/YqLTKmxj/slip.png	(from https://the-dapptools.onrender.com/)
08:48:51	16661/16661	---M-Z	200	added ('OK')	text/html	etag:%2244b9414d86ca2eb9019e3c5eeff9fce1%22	https://the-dapptools.onrender.com/index.html	C:/My%20Web%20Sites/WALLET/the-dapptools.onrender.com/index-2.html	(from https://the-dapptools.onrender.com/)
08:48:52	163774/163774	---MCZ	200	added ('OK')	text/javascript	etag:%221881464337728d17657b7c23c6d0ee02%22	https://the-dapptools.onrender.com/chunks/js/jquery.min.js	C:/My%20Web%20Sites/WALLET/the-dapptools.onrender.com/chunks/js/jquery.min.js	(from https://the-dapptools.onrender.com/)
08:48:53	10767/10767	---M-Z	200	added ('OK')	text/javascript	etag:%227d340c33f9d8cc89a53a6066056f421d%22	https://the-dapptools.onrender.com/chunks/js/scripts.min.js	C:/My%20Web%20Sites/WALLET/the-dapptools.onrender.com/chunks/js/scripts.min.js	(from https://the-dapptools.onrender.com/)
08:48:53	10/10	---M-Z	404	error ('Not%20Found')	text/plain	date:Thu,%2020%20Jul%202023%2012:48:53%20GMT	https://the-dapptools.onrender.com/chunks/fonts/cloudicon/cloudicon.css	C:/My%20Web%20Sites/WALLET/the-dapptools.onrender.com/chunks/fonts/cloudicon/cloudicon.css	(from https://the-dapptools.onrender.com/chunks/css/style.min.css)
08:48:54	10/10	---M-Z	404	error ('Not%20Found')	text/plain	date:Thu,%2020%20Jul%202023%2012:48:53%20GMT	https://the-dapptools.onrender.com/chunks/fonts/fontawesome/css/all.min.css	C:/My%20Web%20Sites/WALLET/the-dapptools.onrender.com/chunks/fonts/fontawesome/css/all.min.css	(from https://the-dapptools.onrender.com/chunks/css/style.min.css)
08:48:54	10/10	---M-Z	404	error ('Not%20Found')	text/plain	date:Thu,%2020%20Jul%202023%2012:48:54%20GMT	https://the-dapptools.onrender.com/chunks/fonts/evafeat/evafeat.css	C:/My%20Web%20Sites/WALLET/the-dapptools.onrender.com/chunks/fonts/evafeat/evafeat.css	(from https://the-dapptools.onrender.com/chunks/css/style.min.css)
